Aligned_X,Aligned_Y,Index_X,Index_Y
-0.1808942330816438,-0.1808070612535731,81,2
-0.1808912673406247,-0.1808070612535731,82,2
-0.1808933926396871,-0.1808070612535731,83,2
-0.1808902001500341,-0.1808070612535731,84,2
-0.1808905652634149,-0.1808070612535731,85,2
-0.1808900502185171,-0.1808070612535731,86,2
-0.1808886789415728,-0.1808070612535731,87,2
-0.1808944433207084,-0.1808070612535731,88,2
-0.1808936858230574,-0.1808070612535731,89,2
-0.1808947975628735,-0.1808070612535731,90,2
-0.1808926849440127,-0.1808070612535731,91,2
-0.1808909635747188,-0.1808070612535731,92,2
-0.1808909635747188,-0.1808070612535731,93,2
-0.1808914220908713,-0.1808070612535731,94,2
-0.1808913781051095,-0.1808070612535731,95,2
-0.1808923819977399,-0.1808070612535731,96,2
-0.1808814265620424,-0.1808070612535731,97,2
-0.1808738786641827,-0.1808070612535731,98,2
-0.180864581946311,-0.1808070612535731,99,2
-0.1808693271161951,-0.1808070612535731,100,2
-0.1808694266083918,-0.1808070612535731,101,2
-0.1808689001722047,-0.1808070612535731,102,2
-0.1808646034655409,-0.1808070612535731,103,2
-0.1808667713908155,-0.1808070612535731,104,2
-0.1808690080221942,-0.1808070612535731,105,2
-0.1808712223511609,-0.1808070612535731,106,2
-0.1808718780943506,-0.1808070612535731,107,2
-0.1808668031003068,-0.1808070612535731,108,2
-0.180868084164586,-0.1808070612535731,109,2
-0.1808712245614228,-0.1808070612535731,110,2
-0.1808729918737637,-0.1808070612535731,111,2
-0.1808712686984964,-0.1808070612535731,112,2
-0.1808712606325857,-0.1808070612535731,113,2
-0.1808701106910533,-0.1808070612535731,114,2
-0.1808740436684332,-0.1808070612535731,115,2
-0.1808737576680952,-0.1808070612535731,116,2
-0.180868126313601,-0.1808070612535731,117,2
-0.1808740077338908,-0.1808070612535731,118,2
-0.1808745809237598,-0.1808070612535731,119,2
-0.1808761061196443,-0.1808070612535731,120,2
-0.1808740300524638,-0.1808070612535731,121,2
-0.1808763956346031,-0.1808070612535731,122,2
-0.1808726769258331,-0.1808070612535731,123,2
-0.1808687322578078,-0.1808070612535731,124,2
-0.1808716985127632,-0.1808070612535731,125,2
-0.1808710415123367,-0.1808070612535731,126,2
-0.1808740961556907,-0.1808070612535731,127,2
-0.1808875620734867,-0.1808070612535731,128,2
-0.1807961974510425,-0.1808070612535731,129,2
-0.1808540521881883,-0.1808070612535731,130,2
-0.1808567249563645,-0.1808070612535731,131,2
-0.1808740108776299,-0.1808070612535731,132,2
-0.1807993892591014,-0.180803201185549,133,3
-0.1807993892591014,-0.1808055717521151,133,4
-0.1807993892591014,-0.1808060814145624,133,5
-0.1807993892591014,-0.1808065359641622,133,6
-0.1807993892591014,-0.1808030379479836,133,7
-0.1807993892591014,-0.1808014304606834,133,8
-0.1807993892591014,-0.1808067192741542,133,9
-0.1807993892591014,-0.1808010143020113,133,10
